id,label,group
aggressive,Aggressive,emotion
powerful,Powerful,emotion
dynamic,Dynamic,emotion
sporty,Sporty,emotion
modern,Modern,emotion
friendly,Friendly,emotion
elegant,Elegant,emotion
stable,Stable,emotion
