id,label,group
7-eleven,7-eleven,noncar
adidas,adidas,noncar
apple,apple,noncar
daiso,daiso,noncar
levi,levi,noncar
louis-vuitton,louis vuitton,noncar
nike,nike,noncar
rolex,rolex,noncar
victoria-secret,victoria secret,noncar
xiaomi,xiaomi,noncar
